"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Road Cave-In","Contracts, Field Services and Maintenance","36##","RIVERSIDE","WARD 5","Phone","FEB 07, 2025 10:29:10 AM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","OTTAWA ST & PIERRE AVE","WARD 4","Phone","JAN 31, 2025 03:49:42 PM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","MCEWAN AVE & MARTINDALE ST","WARD 2","Phone","JAN 22, 2025 08:42:47 AM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","LAUZON PKY & CANTELON DR","WARD 8","Phone","JAN 23, 2025 12:00:21 PM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","NORTH SERVICE RD & LANGLOIS AVE","WARD 10","E-Mail","JAN 16, 2025 12:58:41 PM"
"Road Cave-In","Contracts, Field Services and Maintenance","8##","ERIE","WARD 4","Phone","JAN 23, 2025 08:05:35 AM"
"Road Cave-In","Contracts, Field Services and Maintenance","30##","DANDURAND","WARD 1","E-Mail","JAN 31, 2025 08:41:15 AM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","LITTLE RIVER ACRES DR & DARFIELD RD","WARD 6","Phone","JAN 31, 2025 01:59:33 PM"
"Road Cave-In","Contracts, Field Services and Maintenance","19##","PILLETTE","WARD 8","Phone","JAN 31, 2025 02:15:55 PM"
"Road Cave-In","Contracts, Field Services and Maintenance","24##","MELDRUM","WARD 5","Phone","JAN 29, 2025 11:30:32 AM"
"Road Cave-In","Contracts, Field Services and Maintenance","2##","ASKIN","WARD 2","Phone","FEB 11, 2025 08:39:43 AM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","WEST GRAND BLVD & ROCKWELL AVE","WARD 1","Phone","FEB 12, 2025 01:11:11 PM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","DOMINION BLVD & NORFOLK ST","WARD 1","Phone","FEB 19, 2025 12:33:04 PM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","MORRIS DR & WEST GRAND BLVD","WARD 1","Phone","FEB 20, 2025 02:18:41 PM"
"Road Cave-In","Contracts, Field Services and Maintenance","7##","ERIE","WARD 4","Phone","FEB 21, 2025 11:09:53 AM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","CALIFORNIA AVE & NORFOLK ST","WARD 1","Phone","FEB 21, 2025 12:32:21 PM"
"Road Cave-In","Contracts, Field Services and Maintenance","7##","ERIE","WARD 4","Phone","FEB 21, 2025 09:27:59 AM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","ST ROSE AVE & WESTCHESTER DR","WARD 6","Phone","FEB 26, 2025 09:13:11 AM"
"Road Cave-In","Contracts, Field Services and Maintenance","4##","GLENGARRY","WARD 3","Phone","FEB 18, 2025 10:02:50 AM"
"Road Cave-In","Contracts, Field Services and Maintenance","1##","WYANDOTTE","WARD 3","Phone","FEB 18, 2025 10:05:09 AM"
"Road Cave-In","Contracts, Field Services and Maintenance","25##","TURNER","WARD 4","Phone","JAN 03, 2025 12:17:28 PM"
"Road Cave-In","Contracts, Field Services and Maintenance","12##","COUSINEAU","WARD 1","Phone","FEB 20, 2025 11:31:00 AM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","ERIE ST E & LOUIS AVE","WARD 4","Phone","FEB 18, 2025 12:55:02 PM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","CORA GREENWOOD DR & LITTLE RIVER BLVD","WARD 7","Phone","FEB 18, 2025 02:32:32 PM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","TECUMSEH RD E & PRINCESS AVE","WARD 8","Phone","MAR 04, 2025 02:23:51 PM"
"Road Cave-In","Contracts, Field Services and Maintenance","8##","ERIE","WARD 4","Phone","FEB 06, 2025 11:10:27 AM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","ERIE ST E & LOUIS AVE","WARD 4","Phone","FEB 06, 2025 11:12:50 AM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","HOMEDALE BLVD & ONTARIO ST","WARD 6","Phone","FEB 07, 2025 02:40:05 PM"
"Road Cave-In","Contracts, Field Services and Maintenance","42##","SPAGO","WARD 9","Phone","FEB 04, 2025 02:57:00 PM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","MOUNT ROYAL DR & VILLA MARIA BLVD N","WARD 1","Phone","FEB 05, 2025 03:11:06 PM"
"Road Cave-In","Contracts, Field Services and Maintenance"," ","ST ROSE AVE & GREENDALE DR","WARD 6","E-Mail","FEB 26, 2025 09:11:54 AM"
