"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Sidewalk Repair","Contracts, Field Services and Maintenance","5##","OUELLETTE","WARD 3","Phone","FEB 03, 2025 01:55:17 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","9##","VILLAIRE","WARD 6","Phone","FEB 07, 2025 02:54:30 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","30##","ROBINET","WARD 7","Citizen Mobile Apps","FEB 07, 2025 03:50:20 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance"," ","WYANDOTTE ST E & OUELLETTE AVE","WARD 3","Phone","JAN 20, 2025 12:11:45 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","19##","VIMY","WARD 4","Phone","JAN 09, 2025 11:17:30 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","17##","AUBIN","WARD 5","Phone","FEB 03, 2025 01:17:25 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","17##","JEFFERSON","WARD 8","Phone","JAN 03, 2025 09:59:18 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance"," ","PARENT AVE & OTTAWA ST","WARD 4","Phone","JAN 17, 2025 01:12:55 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","15##","PRINCE","WARD 2","Citizen Mobile Apps","JAN 13, 2025 11:32:38 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","41##","BONNAIRE","WARD 9","Citizen Mobile Apps","JAN 19, 2025 03:53:03 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","21##","VERCHERES","WARD 2","Phone","JAN 08, 2025 09:34:25 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","2##","ERIE","WARD 3","Phone","JAN 28, 2025 01:49:30 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","10##","HIGHLAND","WARD 3","Phone","JAN 28, 2025 02:57:29 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","9##","ERIE","WARD 4","Phone","FEB 03, 2025 09:48:32 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","12##","ASKIN","WARD 2","E-Mail","JAN 02, 2025 01:04:37 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","10##","MONMOUTH","WARD 4","Phone","JAN 02, 2025 01:11:59 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","113##","LITTLE RIVER","WARD 7","Phone","JAN 06, 2025 02:28:36 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","31##","WYANDOTTE","WARD 2","Phone","FEB 03, 2025 02:18:02 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","12##","HIGH","WARD 5","Citizen Mobile Apps","FEB 04, 2025 08:05:20 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","MARTINIQUE","WARD 7","Phone","FEB 04, 2025 10:48:49 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","MARTINIQUE","WARD 7","Phone","FEB 04, 2025 10:49:51 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","MARTINIQUE","WARD 7","Phone","FEB 04, 2025 10:50:53 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","MARTINIQUE","WARD 7","Phone","FEB 04, 2025 10:51:42 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","MARTINIQUE","WARD 7","Phone","FEB 04, 2025 10:53:22 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","MARTINIQUE","WARD 7","Phone","FEB 04, 2025 10:54:48 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","MARTINIQUE","WARD 7","Phone","FEB 04, 2025 10:55:48 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","MARTINIQUE","WARD 7","Phone","FEB 04, 2025 10:56:40 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","MARTINIQUE","WARD 7","Phone","FEB 04, 2025 10:57:44 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","31##","FOREST GLADE","WARD 7","Phone","JAN 31, 2025 02:53:02 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","15##","HIGHNOON","WARD 1","Phone","FEB 04, 2025 08:17:45 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","MARTINIQUE","WARD 7","Phone","FEB 04, 2025 10:52:31 AM"
