"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Drainage","Contracts, Field Services and Maintenance","36##","LAUZON","WARD 9","Phone","OCT 23, 2025 03:10:51 PM"
"Drainage","Contracts, Field Services and Maintenance","8##","FOSTER","WARD 9","Phone","NOV 03, 2025 11:07:32 AM"
"Drainage","Contracts, Field Services and Maintenance","20##","SPRING GARDEN","WARD 1","Phone","AUG 14, 2025 10:14:56 AM"
"Drainage","Contracts, Field Services and Maintenance","13##","NORTH SERVICE","WARD 10","Phone","SEP 24, 2025 03:49:10 PM"
"Drainage","Contracts, Field Services and Maintenance","32##","MARENTETTE","WARD 9","Phone","NOV 21, 2025 09:32:22 AM"
"Drainage","Contracts, Field Services and Maintenance","32##","SEVILLE","WARD 7","Phone","JUL 02, 2025 10:25:25 AM"
"Drainage","Contracts, Field Services and Maintenance"," ","HANLEY CRES & WALLACE AVE","WARD 9","Phone","JUL 23, 2025 11:51:17 AM"
"Drainage","Contracts, Field Services and Maintenance"," ","BLISS RD & MOXLAY AVE","WARD 9","Phone","MAY 27, 2025 12:07:34 PM"
"Drainage","Contracts, Field Services and Maintenance","47##","NORTH SERVICE","WARD 8","E-Mail","JUL 29, 2025 11:46:25 AM"
"Drainage","Contracts, Field Services and Maintenance","20##","DOMINION","WARD 10","Phone","JUN 20, 2025 10:08:22 AM"
"Drainage","Contracts, Field Services and Maintenance","39##","WOODWARD","WARD 9","Phone","MAY 02, 2025 11:05:07 AM"
"Drainage","Contracts, Field Services and Maintenance","49##","OJIBWAY","WARD 1","Phone","APR 28, 2025 09:34:09 AM"
"Drainage","Contracts, Field Services and Maintenance","9##","BROADWAY","WARD 1","Phone","MAR 24, 2025 01:17:48 PM"
"Drainage","Contracts, Field Services and Maintenance","87##","MCHUGH","WARD 6","Phone","MAY 23, 2025 03:02:17 PM"
"Drainage","Contracts, Field Services and Maintenance","10##","GRAND MARAIS","WARD 10","Phone","MAY 02, 2025 03:12:10 PM"
"Drainage","Contracts, Field Services and Maintenance","39##","CASGRAIN","WARD 1","Phone","AUG 01, 2025 03:44:55 PM"
"Drainage","Contracts, Field Services and Maintenance","6##","SCOFIELD","WARD 9","Phone","MAY 12, 2025 10:34:31 AM"
"Drainage","Contracts, Field Services and Maintenance","44##","7TH CON","WARD 9","Phone","APR 14, 2025 11:24:34 AM"
"Drainage","Contracts, Field Services and Maintenance","19##","DOMINION","WARD 10","Phone","AUG 11, 2025 12:23:58 PM"
"Drainage","Contracts, Field Services and Maintenance"," ","TURNER RD & MOXLAY AVE","WARD 9","Phone","JUL 09, 2025 02:26:43 PM"
"Drainage","Contracts, Field Services and Maintenance","44##","BASELINE","WARD 9","Phone","JUN 09, 2025 10:30:30 AM"
"Drainage","Contracts, Field Services and Maintenance","54##","MALDEN","WARD 1","Phone","MAY 26, 2025 11:36:40 AM"
"Drainage","Contracts, Field Services and Maintenance"," ","MATCHETT RD & TITCOMBE RD","WARD 1","Phone","SEP 29, 2025 11:39:27 AM"
"Drainage","Contracts, Field Services and Maintenance","3##","CHARLES","WARD 10","Phone","OCT 01, 2025 11:47:44 AM"
"Drainage","Contracts, Field Services and Maintenance","3##","CHARLES","WARD 10","Phone","OCT 03, 2025 10:13:30 AM"
"Drainage","Contracts, Field Services and Maintenance"," ","BROADWAY","WARD 1","Phone","SEP 18, 2025 03:08:46 PM"
"Drainage","Contracts, Field Services and Maintenance"," ","EC ROW ON","WARD 5","Phone","SEP 22, 2025 02:15:44 PM"
"Drainage","Contracts, Field Services and Maintenance","15##","GRAND MARAIS","WARD 1","E-Mail","SEP 23, 2025 08:54:45 AM"
"Drainage","Contracts, Field Services and Maintenance","39##","LAUZON","WARD 9","Phone","SEP 25, 2025 12:16:44 PM"
"Drainage","Contracts, Field Services and Maintenance","16##","ARMANDA","WARD 1","Phone","APR 03, 2025 08:25:37 AM"
"Drainage","Contracts, Field Services and Maintenance","104##","SHENANDOAH","WARD 7","Phone","JUN 23, 2025 01:11:58 PM"
"Drainage","Contracts, Field Services and Maintenance","36##","CABANA","WARD 9","Phone","MAR 14, 2025 02:36:05 PM"
"Drainage","Contracts, Field Services and Maintenance","37##","LAUZON","WARD 9","Phone","JAN 03, 2025 09:43:35 AM"
"Drainage","Contracts, Field Services and Maintenance","43##","9TH CON","WARD 9","Phone","APR 09, 2025 08:46:22 AM"
"Drainage","Contracts, Field Services and Maintenance","36##","SHINGLECREEK","WARD 9","Phone","APR 03, 2025 09:44:19 AM"
"Drainage","Contracts, Field Services and Maintenance","99##","RIVERSIDE","WARD 7","E-Mail","APR 04, 2025 01:39:44 PM"
"Drainage","Contracts, Field Services and Maintenance","4##","FLORA","WARD 7","Phone","APR 07, 2025 11:48:28 AM"
"Drainage","Contracts, Field Services and Maintenance","47##","9TH CON","WARD 9","Phone","MAR 04, 2025 11:04:51 AM"
"Drainage","Contracts, Field Services and Maintenance","47##","BASELINE","WARD 9","Phone","MAY 14, 2025 11:41:55 AM"
"Drainage","Contracts, Field Services and Maintenance","9##","GRAND MARAIS","WARD 10","Phone","MAY 22, 2025 11:58:36 AM"
"Drainage","Contracts, Field Services and Maintenance","51##","MALDEN","WARD 1","Phone","JAN 08, 2025 11:46:26 AM"
"Drainage","Contracts, Field Services and Maintenance","46##","MALDEN","WARD 1","Phone","JAN 27, 2025 09:17:12 AM"
"Drainage","Contracts, Field Services and Maintenance","5##","COUSINEAU","WARD 1","Phone","APR 03, 2025 09:15:11 AM"
"Drainage","Contracts, Field Services and Maintenance"," ","EC ROW RAMP E & CENTRAL AVE","WARD 9","Phone","APR 10, 2025 11:47:58 AM"
"Drainage","Contracts, Field Services and Maintenance","3##","COUSINEAU","WARD 1","Phone","MAR 05, 2025 09:00:36 AM"
"Drainage","Contracts, Field Services and Maintenance"," ","CHARL AVE & SOUTH PACIFIC AVE","WARD 3","Phone","MAR 10, 2025 11:14:53 AM"
"Drainage","Contracts, Field Services and Maintenance","7##","COUSINEAU","WARD 1","E-Mail","MAR 10, 2025 02:20:52 PM"
"Drainage","Contracts, Field Services and Maintenance"," ","SOUTH PACIFIC AVE & CHARL AVE","WARD 3","Phone","MAR 11, 2025 10:06:11 AM"
"Drainage","Contracts, Field Services and Maintenance","9##","BROADWAY","WARD 1","Phone","MAR 12, 2025 03:40:26 PM"
"Drainage","Contracts, Field Services and Maintenance","9##","BROADWAY","WARD 1","Phone","MAR 12, 2025 03:43:42 PM"
"Drainage","Contracts, Field Services and Maintenance","39##","CASGRAIN","WARD 1","Phone","MAR 19, 2025 08:39:09 AM"
"Drainage","Contracts, Field Services and Maintenance","39##","CASGRAIN","WARD 1","Phone","MAR 17, 2025 03:27:15 PM"
"Drainage","Contracts, Field Services and Maintenance","40##","CABANA","WARD 9","Phone","MAR 05, 2025 02:05:47 PM"
"Drainage","Contracts, Field Services and Maintenance","46##","HOWARD","WARD 1","Phone","APR 03, 2025 08:23:05 AM"
"Drainage","Contracts, Field Services and Maintenance","36##","CABANA","WARD 9","Phone","MAR 12, 2025 11:40:56 AM"
"Drainage","Contracts, Field Services and Maintenance","11##","SETTLER'S","WARD 1","Phone","APR 28, 2025 10:24:22 AM"
"Drainage","Contracts, Field Services and Maintenance"," ","AVON","WARD 1","Phone","MAR 21, 2025 12:45:02 PM"
"Drainage","Contracts, Field Services and Maintenance","12##","AIRE","WARD 6","Phone","MAR 27, 2025 03:35:14 PM"
"Drainage","Contracts, Field Services and Maintenance","38##","AVON","WARD 1","Phone","MAR 21, 2025 03:23:50 PM"
"Drainage","Contracts, Field Services and Maintenance","46##","COUNTY RD 17","WARD 9","Phone","MAR 06, 2025 10:20:12 AM"
"Drainage","Contracts, Field Services and Maintenance"," ","EC ROW ON","WARD 5","Phone","SEP 19, 2025 01:09:40 PM"
"Drainage","Contracts, Field Services and Maintenance","33##","MARENTETTE","WARD 9","Phone","JUL 18, 2025 10:27:04 AM"
"Drainage","Contracts, Field Services and Maintenance","18##","KENT","WARD 1","Phone","JUN 11, 2025 10:22:13 AM"
"Drainage","Contracts, Field Services and Maintenance","15##","ARMANDA","WARD 1","Phone","MAY 22, 2025 03:16:23 PM"
