"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Construction Site Conditions","Building Services","9##","FELIX","WARD 2","Phone","MAY 11, 2026 09:57:49 AM"
"Construction Site Conditions","Building Services","14##","HURON CHURCH","WARD 2","Phone","MAY 22, 2026 11:41:06 AM"
"Construction Site Conditions","Building Services","14##","HURON CHURCH","WARD 2","Phone","MAY 21, 2026 03:08:53 PM"
"Construction Site Conditions","Building Services","24##","GEORGE","WARD 5","Phone","APR 29, 2026 01:00:23 PM"
"Construction Site Conditions","Building Services","9##","ASKIN","WARD 2","Phone","MAY 14, 2026 11:30:37 AM"
"Construction Site Conditions","Building Services","4##","LOGAN","WARD 3","Phone","MAR 27, 2026 02:24:29 PM"
"Construction Site Conditions","Building Services","18##","WYANDOTTE","WARD 4","Phone","JAN 06, 2026 11:29:33 AM"
"Construction Site Conditions","Building Services","33##","BYNG","WARD 9","Phone","FEB 20, 2026 01:24:35 PM"
"Construction Site Conditions","Building Services","13##","DROUILLARD","WARD 5","Phone","APR 20, 2026 12:02:17 PM"
"Construction Site Conditions","Building Services","4##","KENNEDY","WARD 1","Phone","MAY 11, 2026 09:50:39 AM"
"Construction Site Conditions","Building Services","9##","GLADSTONE","WARD 4","Phone","FEB 18, 2026 09:26:02 AM"
"Construction Site Conditions","Building Services","26##","SCARSDALE","WARD 7","Phone","MAR 20, 2026 08:33:43 AM"
"Construction Site Conditions","Building Services","9##","CAMPBELL","WARD 2","Phone","APR 13, 2026 09:39:25 AM"
"Construction Site Conditions","Building Services","9##","EDWARD","WARD 6","Phone","MAR 20, 2026 11:20:25 AM"
"Construction Site Conditions","Building Services","9##","ELLROSE","WARD 5","Phone","MAR 04, 2026 09:26:59 AM"
"Construction Site Conditions","Building Services","24##","WESTMINSTER","WARD 8","Phone","MAR 20, 2026 10:19:12 AM"
"Construction Site Conditions","Building Services","38##","HOWARD","WARD 9","Phone","APR 14, 2026 03:28:51 PM"
"Construction Site Conditions","Building Services","15##","PELISSIER","WARD 3","Phone","MAY 19, 2026 10:26:12 AM"
"Construction Site Conditions","Building Services","33##","RIBERDY","WARD 9","Phone","MAY 20, 2026 11:27:23 AM"
"Construction Site Conditions","Building Services","71##","TECUMSEH","WARD 8","Phone","APR 09, 2026 03:23:25 PM"
"Construction Site Conditions","Building Services","24##","SYDNEY","WARD 9","Phone","MAY 05, 2026 08:56:05 AM"
"Construction Site Conditions","Building Services","29##","LANGLOIS","WARD 10","Phone","MAR 17, 2026 10:44:01 AM"
"Construction Site Conditions","Building Services","31##","DOUGALL","WARD 1","Phone","MAR 26, 2026 12:24:08 PM"
"Construction Site Conditions","Building Services","79##","WYANDOTTE","WARD 6","Phone","MAR 16, 2026 08:55:32 AM"
"Construction Site Conditions","Building Services","12##","GOYEAU","WARD 3","E-Mail","APR 07, 2026 11:35:46 AM"
"Construction Site Conditions","Building Services","9##","EDWARD","WARD 6","Phone","MAY 11, 2026 11:53:21 AM"
"Construction Site Conditions","Building Services","14##","ST PATRICK'S","WARD 10","Phone","MAR 02, 2026 10:32:32 AM"
"Construction Site Conditions","Building Services","3##","FOCH","WARD 3","Phone","MAR 24, 2026 03:16:23 PM"
"Construction Site Conditions","Building Services","4##","LOGAN","WARD 3","Phone","APR 17, 2026 11:43:35 AM"
"Construction Site Conditions","Building Services","3##","ASKIN","WARD 2","Phone","MAY 15, 2026 10:24:32 AM"
"Construction Site Conditions","Building Services","33##","BYNG","WARD 9","Phone","MAR 13, 2026 03:24:18 PM"
"Construction Site Conditions","Building Services","33##","BYNG","WARD 9","Phone","MAR 17, 2026 09:10:43 AM"
