"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Rodent Extermination Program","Environmental Services","13##","CHURCH","WARD 3","Phone","JAN 02, 2026 03:01:47 PM"
"Rodent Extermination Program","Environmental Services","83##","KINGSTON","WARD 6","Phone","JAN 09, 2026 09:47:32 AM"
"Rodent Extermination Program","Environmental Services","7##","ARGYLE","WARD 4","Phone","JAN 09, 2026 10:33:02 AM"
"Rodent Extermination Program","Environmental Services","12##","CHILVER","WARD 4","Phone","JAN 09, 2026 10:59:23 AM"
"Rodent Extermination Program","Environmental Services","17##","BENJAMIN","WARD 4","Phone","JAN 09, 2026 01:49:12 PM"
"Rodent Extermination Program","Environmental Services","44##","LOVRIC","WARD 5","Phone","JAN 09, 2026 03:49:04 PM"
"Rodent Extermination Program","Environmental Services","23##","PARKWOOD","WARD 4","Phone","JAN 06, 2026 01:36:16 PM"
"Rodent Extermination Program","Environmental Services","14##","RIVERSIDE","WARD 4","Phone","JAN 07, 2026 01:55:31 PM"
"Rodent Extermination Program","Environmental Services","5##","CARON","WARD 3","Phone","JAN 07, 2026 02:47:42 PM"
"Rodent Extermination Program","Environmental Services","23##","PILLETTE","WARD 5","Phone","JAN 07, 2026 03:36:56 PM"
"Rodent Extermination Program","Environmental Services","79##","LITTLE RIVER","WARD 6","Phone","JAN 08, 2026 10:35:20 AM"
"Rodent Extermination Program","Environmental Services","36##","BLISS","WARD 9","Phone","JAN 08, 2026 10:59:13 AM"
"Rodent Extermination Program","Environmental Services","8##","SMEETON","WARD 6","Phone","JAN 05, 2026 03:22:30 PM"
